"simulationTime[s]","averageDistanceToReach[m]","averageTimeToReach[s]"
3600,1291.5,36.0
7200,4663.625,121.5
10801,8709.833333333334,236.33333333333334
14402,12305.5,289.0
18000,4895.75,123.75
21601,1353.0,29.0
25200,1176.75,27.75
28800,4625.333333333333,125.33333333333333
32404,3998.6666666666665,98.66666666666667
36000,3209.0,85.5
39600,0.0,0.0
43200,0.0,0.0
46802,0.0,0.0
50400,0.0,0.0
54001,356.0,12.166666666666666
57600,1039.0,22.75
61200,838.4285714285714,23.142857142857142
64801,711.25,21.25
68402,2575.3333333333335,77.0
72001,3863.0,115.5
75601,1504.0,47.666666666666664
79200,902.4,28.6
82801,0.0,0.0
