"simulationTime[s]","patrolState","timeInState[s]"
453,PATROLLING,448.0
510,TRANSFER_TO_INTERVENTION,57.0
1620,INTERVENTION,1110.0
1700,CALCULATING_PATH,80.0
1878,PATROLLING,178.0
1895,CALCULATING_PATH,17.0
1986,TRANSFER_TO_INTERVENTION,91.0
3006,INTERVENTION,1020.0
3046,CALCULATING_PATH,40.0
3486,PATROLLING,440.0
3556,CALCULATING_PATH,70.0
4094,PATROLLING,538.0
4105,CALCULATING_PATH,11.0
4709,PATROLLING,604.0
4720,CALCULATING_PATH,11.0
5438,PATROLLING,718.0
5450,CALCULATING_PATH,12.0
6182,PATROLLING,732.0
6193,CALCULATING_PATH,11.0
6398,PATROLLING,205.0
6409,CALCULATING_PATH,11.0
6589,PATROLLING,180.0
6600,CALCULATING_PATH,11.0
6645,PATROLLING,45.0
6656,CALCULATING_PATH,11.0
6709,TRANSFER_TO_INTERVENTION,53.0
8132,INTERVENTION,1423.0
8143,CALCULATING_PATH,11.0
8273,PATROLLING,130.0
8284,CALCULATING_PATH,11.0
8545,PATROLLING,261.0
8556,CALCULATING_PATH,11.0
9011,PATROLLING,455.0
9022,CALCULATING_PATH,11.0
9088,TRANSFER_TO_INTERVENTION,66.0
9452,INTERVENTION,364.0
12783,FIRING,3331.0
12798,PATROLLING,15.0
12810,CALCULATING_PATH,12.0
12865,PATROLLING,55.0
12877,CALCULATING_PATH,12.0
12904,TRANSFER_TO_INTERVENTION,27.0
13871,INTERVENTION,967.0
13882,CALCULATING_PATH,11.0
13936,PATROLLING,54.0
13946,CALCULATING_PATH,10.0
14097,TRANSFER_TO_INTERVENTION,151.0
15377,INTERVENTION,1280.0
18638,FIRING,3261.0
18650,PATROLLING,12.0
18662,CALCULATING_PATH,12.0
19114,PATROLLING,452.0
19125,CALCULATING_PATH,11.0
19235,PATROLLING,110.0
19246,CALCULATING_PATH,11.0
19876,PATROLLING,630.0
19887,CALCULATING_PATH,11.0
20434,PATROLLING,547.0
20445,CALCULATING_PATH,11.0
21039,PATROLLING,594.0
21050,CALCULATING_PATH,11.0
21470,PATROLLING,420.0
21481,CALCULATING_PATH,11.0
21558,TRANSFER_TO_INTERVENTION,77.0
