"simulationTime[s]","amountOfInterventions","interventionsDuration[min]","averageInterventionDuration[min]","amountOfFirings","firingsDuration[min]","averageFiringDuration[min]"
3600,20.0,408.0,20.4,1.0,62.0,62.0
7213,18.0,385.0,21.38888888888889,4.0,273.0,68.25
10801,15.0,322.0,21.466666666666665,3.0,204.0,68.0
14401,17.0,344.0,20.235294117647058,1.0,78.0,78.0
18000,17.0,336.0,19.764705882352942,2.0,143.0,71.5
21600,20.0,427.0,21.35,3.0,256.0,85.33333333333333
25201,14.0,283.0,20.214285714285715,2.0,128.0,64.0
28800,17.0,370.0,21.764705882352942,3.0,221.0,73.66666666666667
32408,19.0,373.0,19.63157894736842,3.0,171.0,57.0
36000,15.0,288.0,19.2,2.0,146.0,73.0
39600,30.0,624.0,20.8,4.0,291.0,72.75
43200,10.0,171.0,17.1,0.0,0.0,0.0
46801,15.0,287.0,19.133333333333333,0.0,0.0,0.0
50400,14.0,313.0,22.357142857142858,3.0,215.0,71.66666666666667
54000,18.0,340.0,18.88888888888889,3.0,192.0,64.0
57600,24.0,527.0,21.958333333333332,2.0,134.0,67.0
61201,28.0,623.0,22.25,7.0,476.0,68.0
64800,14.0,259.0,18.5,4.0,272.0,68.0
68402,14.0,318.0,22.714285714285715,3.0,195.0,65.0
72001,26.0,583.0,22.423076923076923,2.0,170.0,85.0
75600,20.0,425.0,21.25,3.0,214.0,71.33333333333333
79200,17.0,378.0,22.235294117647058,5.0,402.0,80.4
82800,19.0,394.0,20.736842105263158,4.0,289.0,72.25
